House_ID,Location,Area_sqft,Bedrooms,Bathrooms,Garage,Year_Built,Price_USD,Property_Type,Floor,Distance_to_CityCenter_km
1,Seattle,8077,3,4,3,2000,2973292,Bungalow,,9.56
2,Houston,4211,1,2,0,1953,861522,Bungalow,,21.84
3,Miami,3460,7,1,0,2007,1096391,Apartment,22.0,21.64
4,Seattle,5330,4,5,2,1973,1755822,Bungalow,,45.83
5,Chicago,5958,2,3,3,1958,1491114,Townhouse,,32.08
6,Boston,2119,7,4,3,2002,859441,Villa,,27.4
7,Miami,6638,1,3,3,2018,2276466,Townhouse,,42.74
8,Miami,7180,7,1,1,1961,2241616,Bungalow,,10.06
9,Seattle,2840,7,1,3,1991,1075532,Bungalow,,10.38
10,Los Angeles,9919,1,3,3,2019,2906100,Apartment,18.0,14.19
11,Chicago,2228,1,5,1,2009,559851,Apartment,25.0,12.04
12,Seattle,4085,5,3,1,1963,1512000,Apartment,38.0,39.5
13,Chicago,701,2,5,2,1960,163613,Apartment,34.0,45.24
14,Chicago,6485,4,4,3,1984,1381098,Apartment,21.0,35.18
15,Boston,6675,1,5,0,1952,2064180,Villa,,14.03
16,Miami,3660,2,3,2,2011,883543,Villa,,27.36
17,Houston,2213,7,2,1,1995,471094,Townhouse,,23.23
18,Boston,8372,7,4,3,1992,3061728,Apartment,9.0,15.64
19,Boston,8339,1,4,1,1978,2637047,Apartment,9.0,49.28
20,Chicago,7359,6,3,3,1981,2098454,Apartment,27.0,14.89
21,San Francisco,1252,2,2,3,1983,632541,Apartment,26.0,30.86
22,Miami,614,2,2,0,2017,173637,Villa,,22.59
23,Los Angeles,5841,5,1,1,1950,1851501,Villa,,6.24
24,Boston,4480,5,2,3,1975,2020426,Apartment,47.0,38.68
25,Houston,6825,2,1,2,1988,1565032,Villa,,37.37
26,San Francisco,3318,3,5,3,1962,1323494,Apartment,17.0,17.62
27,San Francisco,968,7,5,2,1984,519315,Bungalow,,17.54
28,Los Angeles,925,1,5,1,2011,292774,Townhouse,,14.05
29,Boston,8641,5,1,1,2011,2748601,Townhouse,,40.46
30,Houston,2075,6,2,3,1993,421451,Villa,,18.94
31,Miami,1333,2,3,1,1968,396484,Apartment,12.0,21.65
32,New York,4606,6,4,0,1993,2028882,Apartment,36.0,42.01
33,Houston,4203,3,2,0,1972,697943,Townhouse,,27.24
34,Los Angeles,1908,2,1,1,1990,654455,Apartment,19.0,29.92
35,San Francisco,3981,4,3,0,2023,1582642,Bungalow,,48.92
36,Miami,6685,2,1,3,2019,1813562,Townhouse,,6.2
37,Houston,6321,4,1,1,2021,1484983,Bungalow,,13.17
38,New York,7344,5,4,3,1994,3146369,Villa,,17.28
39,New York,6895,5,3,1,2006,2886187,Villa,,21.45
40,Chicago,9295,2,5,1,2015,2227027,Villa,,14.69
41,Chicago,712,5,2,1,1972,150635,Apartment,35.0,26.49
42,Seattle,6911,2,5,1,1987,2615558,Villa,,8.6
43,Los Angeles,5301,6,1,3,1967,1504799,Bungalow,,48.07
44,Boston,2258,2,4,1,1952,881373,Villa,,7.84
45,Houston,6280,4,3,0,1993,1451098,Townhouse,,22.31
46,Houston,9473,1,4,1,1954,2202450,Apartment,40.0,24.39
47,Boston,2026,2,4,2,1977,740292,Townhouse,,31.36
48,Seattle,1340,1,3,1,1992,413401,Villa,,45.66
49,San Francisco,1841,7,3,0,2006,871910,Apartment,4.0,39.48
50,San Francisco,2000,3,3,3,2015,793403,Townhouse,,14.47
51,Seattle,8621,5,4,3,2019,2272555,Apartment,9.0,43.54
52,San Francisco,6059,3,1,2,2014,2832307,Apartment,1.0,40.87
53,Chicago,6426,3,4,1,1962,1589303,Apartment,21.0,49.07
54,Houston,9207,7,1,3,2003,1791336,Villa,,3.69
55,Seattle,8175,2,2,3,1951,2586181,Apartment,24.0,38.44
56,Houston,9839,3,1,3,1971,1676892,Bungalow,,36.16
57,Boston,6957,2,2,3,1981,2934826,Bungalow,,31.86
58,New York,3756,5,5,3,1960,1768585,Bungalow,,41.46
59,Chicago,3094,5,2,1,1998,841852,Townhouse,,42.67
60,Miami,4156,3,4,2,1962,1494241,Bungalow,,1.84
61,Chicago,2586,2,5,0,1989,695234,Apartment,34.0,48.48
62,Seattle,3655,4,4,1,1985,948102,Bungalow,,42.05
63,Miami,7688,4,4,1,1989,1848262,Villa,,42.05
64,New York,6896,1,2,0,2020,2518857,Townhouse,,9.09
65,Seattle,1478,1,3,1,1965,508218,Villa,,22.0
66,Los Angeles,3547,6,4,1,2009,1028223,Villa,,6.37
67,Houston,3089,7,5,0,1961,703948,Townhouse,,1.57
68,New York,2506,1,4,2,1966,1069514,Apartment,27.0,1.83
69,Houston,7283,3,3,0,1998,1328003,Townhouse,,4.18
70,San Francisco,6442,7,3,1,2009,2769999,Villa,,48.16
71,Los Angeles,3099,2,4,3,1986,1111347,Villa,,8.67
72,Los Angeles,3008,7,3,3,2004,914265,Townhouse,,20.94
73,New York,8971,1,2,0,1987,3199336,Villa,,46.97
74,Los Angeles,1693,2,1,2,1977,594770,Bungalow,,40.45
75,Miami,6415,3,3,0,1980,2271579,Townhouse,,25.22
76,Los Angeles,2545,2,4,0,1977,870280,Bungalow,,38.74
77,Houston,8296,6,3,2,1957,1913520,Bungalow,,19.53
78,Houston,8939,2,4,3,1968,1931502,Villa,,21.93
79,Seattle,8102,3,5,0,1979,2451232,Townhouse,,21.26
80,Houston,4172,6,4,2,2020,976006,Townhouse,,14.44
81,Seattle,7681,4,5,1,1976,2733599,Villa,,13.38
82,Houston,544,7,1,1,1965,112540,Villa,,38.84
83,Miami,2585,2,2,2,2003,715945,Apartment,2.0,37.19
84,Boston,5011,7,1,2,1964,1851650,Bungalow,,28.65
85,Seattle,6888,2,4,1,1965,2036740,Townhouse,,43.32
86,Chicago,8275,7,1,1,1995,1920881,Bungalow,,20.89
87,San Francisco,5871,5,5,0,1951,2379615,Bungalow,,29.1
88,New York,8448,5,1,0,1999,3823554,Villa,,9.92
89,Houston,6723,6,2,3,1974,1464017,Bungalow,,38.11
90,Los Angeles,4823,1,3,0,2010,1371794,Townhouse,,5.9
91,Boston,7126,7,5,2,1966,2338983,Townhouse,,14.3
92,Houston,9314,1,1,3,1952,1544504,Townhouse,,42.16
93,Los Angeles,8549,3,1,3,2021,2842063,Townhouse,,18.39
94,San Francisco,7591,3,1,2,2017,3805599,Villa,,16.85
95,San Francisco,9176,5,5,1,1976,3553991,Villa,,17.7
96,San Francisco,8716,5,1,1,1989,3282976,Villa,,49.81
97,Los Angeles,1725,7,3,1,1991,568822,Apartment,12.0,21.02
98,Houston,1748,1,4,1,1977,309473,Bungalow,,9.44
99,San Francisco,9470,5,1,0,1966,4785270,Villa,,47.25
100,Miami,5526,2,3,3,2022,1716184,Townhouse,,45.2
101,Seattle,3342,7,5,2,1997,899938,Apartment,15.0,11.81
102,Los Angeles,6198,2,4,3,1952,1750717,Apartment,30.0,25.11
103,Los Angeles,2082,7,5,3,1953,642640,Villa,,4.25
104,Houston,5348,5,4,1,2018,938724,Villa,,26.56
105,Los Angeles,3638,3,3,1,2003,1398270,Townhouse,,45.09
106,Los Angeles,5255,1,3,1,1960,1967395,Villa,,23.81
107,San Francisco,2017,2,4,0,2022,771633,Apartment,3.0,32.5
108,Houston,5142,7,3,2,1955,840829,Townhouse,,49.21
109,San Francisco,5696,6,2,3,1995,2673394,Townhouse,,40.22
110,Seattle,4268,3,4,3,1954,1364442,Apartment,25.0,6.4
111,Boston,6698,6,1,0,2019,2275732,Villa,,45.15
112,Seattle,8572,5,1,3,1989,2300517,Villa,,39.67
113,Boston,6058,7,1,1,1968,2294447,Apartment,6.0,44.58
114,San Francisco,1843,6,1,0,1979,813805,Bungalow,,1.58
115,Seattle,5990,1,1,0,2003,2162557,Townhouse,,32.47
116,Houston,5835,1,2,0,2012,1286804,Bungalow,,7.91
117,New York,548,3,1,0,1985,242224,Townhouse,,3.62
118,San Francisco,6416,3,3,3,2022,2900693,Apartment,43.0,1.07
119,Boston,3010,3,5,1,1994,1153643,Bungalow,,19.88
120,Miami,6725,6,3,0,1969,2391279,Bungalow,,36.67
121,Boston,4160,5,3,0,2016,1766857,Bungalow,,37.4
122,Miami,2246,5,2,0,2023,808503,Townhouse,,2.7
